Name,Price,Image,Category
"
                     Paw Paw Fresh  whole each
                ","
                        $3.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/144803.jpg,Paw Paw
"
                     Chestnuts Large  per kg
                ","
                        $9.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/143745.jpg,Chestnut
"
                     Fresh Papple  per kg
                ","
                        $6.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/609700.jpg,Apple
"
                     Grapes Red Seedless min. 900g
                ","
                        $3.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/405838.jpg,Grape
"
                     Lemon Fresh  each
                ","
                        $5.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/259514.jpg,Lemon
"
                    Woolworths Kiwi Fruit Gold each
                ","
                        $6.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/267084.jpg,Kiwi
"
                     Papaya Red Whole each
                ","
                        $3.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/172659.jpg,Papaya
"
                     Pomegranate Fresh  each
                ","
                        $4.50 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/324819.jpg,Pomegranat
"
                    Envy Apple  each
                ","
                        $4.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/761414.jpg,Apple
"
                     Grapefruit Red Flesh  each
                ","
                        $3.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/259345.jpg,shaddock
"
                    Kanzi Apple  each
                ","
                        $5.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/381923.jpg,Apple
"
                     Lime Fresh  each
                ","
                        $15.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/245902.jpg,Lime
"
                    Coco Q Green Coconut For Drinking each
                ","
                        $3.90 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/137009.jpg,Coconut
"
                     Fresh Corella Pear  each
                ","
                        $5.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/145182.jpg,Pear
"
                    Select Apple Red Delicious  1kg punnet
                ","
                        $4.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/314020.jpg,Apple
"
                     Banana Organic  each
                ","
                        $3.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/306510.jpg,Banana
"
                     Mandarin Amorette Seedless  each
                ","
                        $4.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/829107.jpg,Mandarin
"
                    Woolworths Coconut Fresh each
                ","
                        $3.00 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/136981.jpg,Coconut
"
                     Quince Fresh  each
                ","
                        $7.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/147315.jpg,Quince
"
                    Yello Apple  each
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/041537.jpg,Apple
"
                    Woolworths Peach Yellow Flesh each
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/328946.jpg,Peach
"
                     Star Fruit Carambola  each
                ","
                        $15.00 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/199715.jpg,Carambola
"
                     Tangelo Minneola  each
                ","
                        $4.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/262398.jpg,Tangelo
"
                    Woolworths Persimmon  each
                ","
                        $2.00 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/140729.jpg,Persimmon
"
                    Merlino Confectionery Apple Toffee each
                ","
                        $2.00 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/132067.jpg,Apple
"
                     Melon De Sapo  each
                ","
                        $4.50 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/924029.jpg,Melon
"
                     Mi Apple Loose  each
                ","
                        $5.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/578168.jpg,Apple
"
                     Fresh Brown Nashi Pear  each
                ","
                        $6.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/145289.jpg,Pear
"
                     Tamarillo Red  each
                ",,https://cdn0.woolworths.media/content/wowproductimages/medium/149473.jpg,Taramillo
"
                     Fresh Green Nashi Pear  each
                ","
                        $6.50 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/145259.jpg,Pear
"
                     Custard Apple Fresh  each
                ","
                        $9.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/199757.jpg,Apple
"
                     Passionfruit Panama  each
                ","
                        $0.80 / 1EA
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/144800.jpg,Passionfruit
"
                     Cavendish Bananas  each
                ","
                        $1.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/133211.jpg,Banana
"
                     Mandarin Imperial  each
                ","
                        $3.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/141410.jpg,Mandarin
"
                     Apple Fuji  each
                ","
                        $4.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/120044.jpg,Apple
"
                    Woolworths Nectarine Yellow Flesh each
                ","
                        $17.90 / 1KG
                    ",https://cdn0.woolworths.media/content/wowproductimages/medium/328616.jpg,Nectarine
