Name,Link,Price,Image
"
          Apples Bravo  (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-bravo-black-44431,$10.29 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/44431-done_medium.jpg?v=1589578579
"
          Apples Granny Smith (Case Sale, Box 12kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-granny-smith-small-wholesale-940715,$4.08 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_940715_W_1000PX_medium.jpeg?v=1477245496
"
          Apples Granny Smith (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-granny-smith-40715,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/Apple_Granny_Smith_large_b5ea42e2-ede4-43f3-b682-1e65ba974e7b_medium.jpeg?v=1477245494
"
          Apples Granny Smith Organic (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-granny-smith-organic-large-74071,$8.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74071-done_medium.jpg?v=1567985080
"
          Apples Jazz (Case Sale, Box 12kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-jazz-wholesale-904181,$6.13 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_904181_W_1000PX_medium.jpeg?v=1441110870
"
          Apples Jazz (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-jazz-4181,$7.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/4181-done_medium.jpg?v=1529027841
"
          Apples Kanzi (Case Sale, Box 12kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-kanzi-wholesale-944001,$6.38 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/94401-done_medium.jpg?v=1588645099
"
          Apples Kanzi (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-kanzi-kg-44001,$7.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/44002-done_c34f8cb6-7a85-409d-b595-d2793c63d108_medium.jpg?v=1590879423
"
          Apples Pink Lady (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-pink-lady-40315,$6.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/apple-pink-small-done_medium.jpg?v=1496109634
"
          Apples Pink Lady Imperfect (Case Sale, Box 12kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-pink-lady-imperfect-case-sale-24036,$1.67 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/24036-done_medium.jpg?v=1593235705
"
          Apples Pink Lady Imperfect Pick Value Range (Each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apple-pink-lady-imperfect-pick-value-range-each-24031,$2.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/apple_pink_lady_imperfect_resized_medium.jpg?v=1589578708
"
          Apples Pink Lady Organic (1kg punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apple-pink-lady-organic-74032,$8.99 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/74032-1-done_medium.jpg?v=1588994699
"
          Apples Pink Lady Organic (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-pink-lady-organic-large-74031,$8.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/pinklady-organic_medium.jpg?v=1495525837
"
          Apples Pink Lady Premium (Case Sale, Box 12kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-pink-lady-case-sale-940315,$2.25 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_940315_W_1000PX_medium.jpeg?v=1593291492
"
          Apples Royal Gala (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-royal-gala-kg-41015,$6.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/apple-royal-gala-single-resized_medium.jpg?v=1593387675
"
          Apples Royal Gala Organic (1kg punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apples-royal-gala-organic-74102,$7.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74102-1-done_medium.jpg?v=1588994667
"
          Apples Royal Gala Organic (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/apple-gala-organic-74101,$8.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74101-gala-organic-done_medium.jpg?v=1525561786
